symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
NOC,491.32,4,"832,615",true,491.32,481.30,Price ($491.32) is above the 20-day EMA ($481.30),true,491.32,484.85,Price ($491.32) is above the 100-day EMA ($484.85),false,68.7,50.0,RSI (68.7) is above the threshold (50),true,491.32,484.77,Current price ($491.32) is above last week's close ($484.77),true,6.86,7.94,3-day ATR (6.86) is lower than 6-day ATR (7.94),2025-06-04T19:31:45,0
CMG,52.15,2,"11,236,698",true,52.15,50.69,Price ($52.15) is above the 20-day EMA ($50.69),false,52.15,52.39,Price ($52.15) is below the 100-day EMA ($52.39),false,61.2,50.0,RSI (61.2) is above the threshold (50),true,52.15,50.08,Current price ($52.15) is above last week's close ($50.08),false,1.67,1.39,3-day ATR (1.67) is higher than 6-day ATR (1.39),2025-06-04T19:32:16,0
DLR,176.65,3,"1,709,191",true,176.65,168.84,Price ($176.65) is above the 20-day EMA ($168.84),true,176.65,163.76,Price ($176.65) is above the 100-day EMA ($163.76),false,69.8,50.0,RSI (69.8) is above the threshold (50),true,176.65,171.52,Current price ($176.65) is above last week's close ($171.52),false,3.54,3.33,3-day ATR (3.54) is higher than 6-day ATR (3.33),2025-06-04T19:32:21,0
REGN,484.18,2,"1,799,266",false,484.18,556.91,Price ($484.18) is below the 20-day EMA ($556.91),false,484.18,625.06,Price ($484.18) is below the 100-day EMA ($625.06),true,27.1,50.0,RSI (27.1) is below the threshold (50),false,484.18,490.28,Current price ($484.18) is below last week's close ($490.28),true,17.88,34.10,3-day ATR (17.88) is lower than 6-day ATR (34.10),2025-06-04T19:32:39,0
SJM,112.62,3,"929,466",false,112.62,112.82,Price ($112.62) is below the 20-day EMA ($112.82),true,112.62,112.23,Price ($112.62) is above the 100-day EMA ($112.23),false,50.7,50.0,RSI (50.7) is above the threshold (50),true,112.62,112.61,Current price ($112.62) is above last week's close ($112.61),true,2.06,2.19,3-day ATR (2.06) is lower than 6-day ATR (2.19),2025-06-04T19:38:58,0
EVRG,65.33,1,"1,879,044",false,65.33,66.42,Price ($65.33) is below the 20-day EMA ($66.42),false,65.33,66.27,Price ($65.33) is below the 100-day EMA ($66.27),true,45.0,50.0,RSI (45.0) is below the threshold (50),false,65.33,66.41,Current price ($65.33) is below last week's close ($66.41),false,0.95,0.94,3-day ATR (0.95) is higher than 6-day ATR (0.94),2025-06-04T19:39:11,0
TXT,74.56,3,"1,092,128",true,74.56,73.59,Price ($74.56) is above the 20-day EMA ($73.59),true,74.56,73.48,Price ($74.56) is above the 100-day EMA ($73.48),false,55.0,50.0,RSI (55.0) is above the threshold (50),true,74.56,74.03,Current price ($74.56) is above last week's close ($74.03),false,1.13,1.11,3-day ATR (1.13) is higher than 6-day ATR (1.11),2025-06-04T19:39:24,0
SOLV,75.03,3,"1,404,418",true,75.03,72.25,Price ($75.03) is above the 20-day EMA ($72.25),true,75.03,71.19,Price ($75.03) is above the 100-day EMA ($71.19),false,64.0,50.0,RSI (64.0) is above the threshold (50),true,75.03,73.09,Current price ($75.03) is above last week's close ($73.09),false,1.72,1.65,3-day ATR (1.72) is higher than 6-day ATR (1.65),2025-06-04T19:39:34,0
CHRW,96.45,2,"1,126,484",true,96.45,95.69,Price ($96.45) is above the 20-day EMA ($95.69),false,96.45,97.58,Price ($96.45) is below the 100-day EMA ($97.58),false,52.8,50.0,RSI (52.8) is above the threshold (50),true,96.45,95.97,Current price ($96.45) is above last week's close ($95.97),false,1.81,1.65,3-day ATR (1.81) is higher than 6-day ATR (1.65),2025-06-04T19:39:38,0
LKQ,40.18,3,"2,048,275",false,40.18,40.56,Price ($40.18) is below the 20-day EMA ($40.56),true,40.18,40.17,Price ($40.18) is above the 100-day EMA ($40.17),true,45.8,50.0,RSI (45.8) is below the threshold (50),false,40.18,40.47,Current price ($40.18) is below last week's close ($40.47),true,0.81,0.81,3-day ATR (0.80) is lower than 6-day ATR (0.81),2025-06-04T19:39:41,0
