symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
LKQ,38.66,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:55,0
LVS,40.81,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:02,0
VTRS,8.56,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:57,0
DD,67.57,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:13,0
WBA,11.27,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:08,0
IPG,22.77,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:11,0
ROL,57.64,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:20,0
AEE,96.18,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:25,0
AES,10.12,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:18,0
CRWD,457.64,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:21,0
CHTR,391.01,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:25,0
APH,92.37,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:32,0
COP,85.53,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:34,0
CME,275.81,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:40,0
MO,59.46,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:47,0
AMT,216.15,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:54,0
BMY,48.39,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:47:56,0
TT,431.69,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:00,0
SBUX,88.08,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:09,0
CTAS,227.47,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:14,0
MCK,711.97,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:16,0
MDLZ,66.22,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:23,0
ELV,381.11,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:26,0
UPS,97.37,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:38,0
CVS,63.78,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:40,0
RSG,253.10,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:48:45,0
PPL,34.15,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:34,0
DRI,214.72,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:47,0
IP,47.00,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:48,0
FE,40.78,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:00,0
ES,64.69,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:08,0
HBAN,15.69,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:21,0
EIX,53.94,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:31,0
DG,114.64,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:36,0
IFF,76.80,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:48,0
BG,74.21,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:56,0
CPB,33.99,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:00,0
RJF,142.65,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:51,0
PDD,99.25,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:46:53,0
K,81.88,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:00,0
WRB,73.36,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:07,0
DAY,60.55,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:57:09,0
CNC,54.94,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:13,0
EXE,115.53,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:53:21,0
